"","Category","Diff_Level","correct_gpt35","correct_gpt4","gpt.3.5.turbo_calc_time_s","gpt.3.5.turbo_calc_time_micro_s","question_length","X0","X1"
"43","Headache","Intermediate
(2nd quartile)",FALSE,TRUE,8,18537,1053,48.449806,-57.78668
"44","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,15,551830,515,40.50883,-51.31507
"45","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,6,482457,80,-29.67496,42.779015
"46","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,4,541410,387,38.097954,-65.98305
"47","Basic Neuroscience","Difficult
(4th quartile)",FALSE,TRUE,8,539027,74,-56.52392,59.35929
"48","Headache","Advanced
(3rd quartile)",TRUE,TRUE,6,222267,106,4.7460413,-66.12259
"49","Headache","Difficult
(4th quartile)",FALSE,TRUE,8,336865,576,39.835354,-63.924812
"50","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,7,980290,1094,48.265762,-11.099526
"51","Headache","Difficult
(4th quartile)",TRUE,TRUE,9,871015,581,43.8236,-62.92247
"52","Headache","Advanced
(3rd quartile)",FALSE,FALSE,6,185664,499,48.286568,-58.749226
"53","Headache","Easy
(1st quartile)",TRUE,TRUE,36,798416,332,46.35069,-61.830456
"54","Headache","Advanced
(3rd quartile)",FALSE,FALSE,11,494280,553,41.036633,-52.894737
"55","Headache","Easy
(1st quartile)",TRUE,TRUE,6,305569,420,-37.238018,-64.03628
"56","Headache","Easy
(1st quartile)",FALSE,TRUE,9,213533,336,33.621532,-49.977486
"57","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,17,851969,1040,-33.82826,-45.04009
"58","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,7,597098,382,40.4442,-66.56495
"59","Headache","Advanced
(3rd quartile)",TRUE,TRUE,10,644039,432,41.69778,-58.416897
"60","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,4,81093,823,47.071304,-60.69562
"61","Headache","Difficult
(4th quartile)",FALSE,FALSE,7,577981,933,47.241596,-59.16557
"62","Headache","Difficult
(4th quartile)",FALSE,TRUE,6,393159,642,51.43482,-57.024143
"63","Headache","Intermediate
(2nd quartile)",FALSE,TRUE,8,185844,480,51.4495,-55.392593
"64","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,8,202674,108,-47.084457,-57.648956
"65","Headache","Easy
(1st quartile)",FALSE,TRUE,8,24373,665,35.968174,-49.67831
"66","Headache","Easy
(1st quartile)",TRUE,TRUE,9,287808,630,38.677757,-50.13663
"67","Basic Neuroscience","Easy
(1st quartile)",TRUE,TRUE,6,504005,422,-13.692877,-18.286043
"68","Headache","Difficult
(4th quartile)",TRUE,TRUE,8,955493,186,42.03729,-53.274456
"69","Headache","Easy
(1st quartile)",TRUE,TRUE,7,714496,515,35.12849,-51.336063
"70","Headache","Easy
(1st quartile)",TRUE,TRUE,11,217163,613,40.05855,-55.482586
"71","Headache","Easy
(1st quartile)",TRUE,TRUE,42,225362,745,46.379723,-52.893547
"72","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,15,595934,126,15.083137,-68.78045
"73","Headache","Difficult
(4th quartile)",TRUE,TRUE,13,426794,838,46.82615,-9.326799
"74","Headache","Advanced
(3rd quartile)",TRUE,TRUE,5,924751,79,-47.007893,-55.646626
"75","Headache","Easy
(1st quartile)",TRUE,TRUE,10,7820,1410,45.220776,-9.455778
"76","Headache","Easy
(1st quartile)",FALSE,TRUE,11,89525,388,46.00731,-57.27671
"77","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,8,860999,68,-60.032043,36.295555
"78","Headache","Easy
(1st quartile)",TRUE,TRUE,9,900541,640,45.405018,-58.752804
"79","Headache","Easy
(1st quartile)",TRUE,TRUE,39,520552,282,48.207474,-59.831047
"80","Headache","Advanced
(3rd quartile)",TRUE,TRUE,6,831600,509,17.532774,-68.02491
"81","Headache","Difficult
(4th quartile)",FALSE,FALSE,7,804076,294,41.7191,-64.08061
"82","Headache","Advanced
(3rd quartile)",FALSE,TRUE,7,589240,676,44.000896,-42.11056
"83","Headache","Difficult
(4th quartile)",TRUE,FALSE,7,390048,635,37.46925,-59.377945
"84","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,11,380154,70,-29.595922,42.742004
"85","Headache","Difficult
(4th quartile)",FALSE,FALSE,6,511767,158,50.99978,-39.16758
"86","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,5,718342,388,9.566079,-40.5353
"87","Basic Neuroscience","Easy
(1st quartile)",TRUE,FALSE,9,578017,100,-13.331371,22.794374
"88","Headache","Easy
(1st quartile)",TRUE,TRUE,47,357892,1343,45.776592,-9.036736
"89","Headache","Difficult
(4th quartile)",FALSE,TRUE,8,860237,839,36.893593,-51.59202
"90","Headache","Advanced
(3rd quartile)",TRUE,TRUE,4,511724,236,37.922558,-66.913445
"91","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,9,216195,626,39.297054,-52.81777
"92","Headache","Advanced
(3rd quartile)",TRUE,TRUE,5,639820,641,39.57742,-62.01336
"93","Headache","Difficult
(4th quartile)",FALSE,TRUE,10,226477,328,41.565887,-70.50004
"94","Headache","Easy
(1st quartile)",TRUE,TRUE,6,621671,52,-37.311653,28.968096
"95","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,7,931956,1186,45.10489,-48.910767
"96","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,7,826870,984,40.928932,-57.44308
"97","Headache","Advanced
(3rd quartile)",TRUE,FALSE,9,771389,1008,41.225704,-56.574287
"98","Basic Neuroscience","Easy
(1st quartile)",TRUE,TRUE,40,504002,87,-64.369934,51.007374
"99","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,11,941063,598,32.364956,-44.908054
"100","Headache","Advanced
(3rd quartile)",TRUE,TRUE,10,366693,842,38.366875,-54.046284
"101","Headache","Difficult
(4th quartile)",FALSE,TRUE,6,916717,679,41.153816,-56.151634
"102","Headache","Easy
(1st quartile)",TRUE,TRUE,5,252328,866,38.489456,-62.89333
"103","Headache","Intermediate
(2nd quartile)",TRUE,TRUE,9,656255,230,37.150734,-64.77588
"104","Imaging/Diagnostic Studies","Intermediate
(2nd quartile)",TRUE,TRUE,11,331264,564,64.27739,11.936278
"105","Imaging/Diagnostic Studies","Difficult
(4th quartile)",TRUE,TRUE,11,762416,674,71.968666,16.376432
"106","Imaging/Diagnostic Studies","Easy
(1st quartile)",TRUE,TRUE,3,999135,72,-74.04558,4.718654
"107","Imaging/Diagnostic Studies","Difficult
(4th quartile)",FALSE,TRUE,4,848136,665,26.087101,-61.365715
"108","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,9,528500,67,-61.186405,56.511917
"109","Basic Neuroscience","Easy
(1st quartile)",TRUE,TRUE,8,115999,87,-64.36889,51.00864
"110","Imaging/Diagnostic Studies","Easy
(1st quartile)",TRUE,TRUE,8,35596,92,-36.38955,49.301514
"111","Imaging/Diagnostic Studies","Difficult
(4th quartile)",FALSE,TRUE,8,797068,70,-36.952904,33.490406
"112","Imaging/Diagnostic Studies","Difficult
(4th quartile)",FALSE,FALSE,5,901347,102,-25.815351,53.10149
"113","Imaging/Diagnostic Studies","Easy
(1st quartile)",TRUE,TRUE,6,671369,930,63.657024,13.938459
"114","Imaging/Diagnostic Studies","Difficult
(4th quartile)",FALSE,TRUE,8,459615,328,23.266247,-62.45161
"115","Imaging/Diagnostic Studies","Difficult
(4th quartile)",FALSE,TRUE,6,188917,665,26.08694,-61.365593
"116","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,11,203187,592,-13.779031,1.5938585
"117","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,9,97409,244,-7.1819167,4.899155
"118","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,19,176698,376,1.2573448,8.695971
"119","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,11,64578,62,-48.34884,36.437225
"120","Basic Neuroscience","Advanced
(3rd quartile)",TRUE,TRUE,7,718002,59,-62.965607,50.529022
"121","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,7,174446,397,-49.09032,-43.82225
"122","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,8,299709,500,-10.464575,3.8021266
"123","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,9,429110,671,-47.13444,-36.061615
"124","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,9,60822,143,33.331326,-2.0073152
"125","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,6,313156,551,2.7099261,-4.5245113
"126","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,9,3036,422,-17.414644,1.5953565
"127","Movement Disorders","Advanced
(3rd quartile)",FALSE,FALSE,6,617896,259,3.011033,-5.064453
"128","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,8,411234,582,70.69496,-17.309483
"129","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,11,889610,646,7.2006407,15.8610935
"130","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,37,469437,180,-65.64803,-7.050156
"131","Basic Neuroscience","Advanced
(3rd quartile)",TRUE,TRUE,17,470004,1042,47.227627,-25.763355
"132","Movement Disorders","Difficult
(4th quartile)",TRUE,TRUE,9,522056,574,-0.55214834,2.799037
"133","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,10,440112,1459,-2.9328542,1.5320256
"134","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,12,38990,77,-53.09735,40.428745
"135","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,7,636737,362,-11.783927,-0.075046234
"136","Movement Disorders","Difficult
(4th quartile)",FALSE,FALSE,11,765668,845,-1.7706317,3.8791354
"137","Movement Disorders","Advanced
(3rd quartile)",TRUE,FALSE,4,392919,363,70.28825,-21.764048
"138","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,6,807789,357,-6.547227,-5.443314
"139","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,9,826091,77,-48.04489,36.248844
"140","Movement Disorders","Advanced
(3rd quartile)",FALSE,FALSE,15,507826,62,-71.965744,-5.1744204
"141","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,7,240366,304,-27.422077,-8.999913
"142","Basic Neuroscience","Intermediate
(2nd quartile)",FALSE,FALSE,16,947995,719,57.704227,13.086669
"143","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,11,976273,500,12.675065,5.369528
"144","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,8,155913,354,-3.534017,-5.668234
"145","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,7,96965,1245,-2.5867455,-11.443961
"146","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,12,866480,1240,-1.3370382,3.4454772
"147","Movement Disorders","Difficult
(4th quartile)",TRUE,FALSE,10,898750,216,23.727964,-41.53476
"148","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,13,557853,472,-48.183838,-41.240654
"149","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,8,633934,599,-51.21819,-41.02644
"150","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,11,494011,76,-70.35734,-8.421459
"151","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,6,94666,36,-19.79322,16.136196
"152","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,10,809259,705,-11.996505,0.49702317
"153","Basic Neuroscience","Easy
(1st quartile)",TRUE,TRUE,30,333000,348,53.86208,0.88872075
"154","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,9,29767,272,-4.2035155,-32.276653
"155","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,14,935415,597,-6.8786616,4.8944097
"156","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,7,58227,76,-48.0772,34.195362
"157","Movement Disorders","Difficult
(4th quartile)",TRUE,TRUE,8,110228,79,-56.93297,-19.015116
"158","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,12,227542,87,-49.42282,19.666323
"159","Movement Disorders","Difficult
(4th quartile)",FALSE,FALSE,12,726206,55,-46.513588,34.96347
"160","Movement Disorders","Easy
(1st quartile)",FALSE,TRUE,11,730047,606,-9.5516615,6.100773
"161","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,10,40752,1007,3.0418706,7.927115
"162","Movement Disorders","Easy
(1st quartile)",FALSE,TRUE,8,877690,1329,75.83204,27.070383
"163","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,10,582339,484,-12.708954,0.6865974
"164","Basic Neuroscience","Easy
(1st quartile)",TRUE,TRUE,5,865003,133,72.97313,-2.5348089
"165","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,8,262307,1555,-8.882939,3.416443
"166","Movement Disorders","Difficult
(4th quartile)",TRUE,TRUE,8,919149,481,52.91565,19.778694
"167","Movement Disorders","Difficult
(4th quartile)",TRUE,TRUE,7,911953,87,-67.549446,-3.31141
"168","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,8,999499,370,3.7354517,57.511696
"169","Movement Disorders","Difficult
(4th quartile)",TRUE,TRUE,9,713592,87,-67.49659,-3.143746
"170","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,6,610292,54,-66.43707,-18.915512
"171","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,7,708178,81,-14.953037,-1.9109129
"172","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,43,713378,30,-53.2154,40.00743
"173","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,42,143603,1471,-9.89747,-0.9105189
"174","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,7,304890,124,-29.799154,5.402646
"175","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,6,473998,37,-37.26854,67.174576
"176","Movement Disorders","Easy
(1st quartile)",FALSE,TRUE,10,884535,501,41.037827,-9.372457
"177","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,5,388280,450,-50.02504,-44.56475
"178","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,10,278665,911,5.149253,47.21986
"179","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,10,318090,85,-71.16895,-4.987323
"180","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,45,903304,76,-52.937035,41.186985
"181","Movement Disorders","Difficult
(4th quartile)",FALSE,FALSE,3,780806,231,-21.73481,6.516107
"182","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,6,360125,826,-1.1906271,7.792127
"183","Movement Disorders","Intermediate
(2nd quartile)",FALSE,TRUE,13,329973,643,-2.475779,-0.35667947
"184","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,20,567203,121,-46.343864,22.543715
"185","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,22,654446,417,6.1702766,16.248106
"186","Basic Neuroscience","Difficult
(4th quartile)",TRUE,FALSE,16,886006,332,30.948626,10.61084
"187","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,6,582718,1286,-2.82878,-6.716288
"188","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,7,404702,45,-78.213356,-16.15427
"189","Movement Disorders","Difficult
(4th quartile)",TRUE,FALSE,23,172811,709,-9.353253,-0.06612454
"190","Movement Disorders","Easy
(1st quartile)",FALSE,TRUE,8,795354,1232,71.3048,7.7264285
"191","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,10,640653,577,-6.60636,-2.7116346
"192","Movement Disorders","Difficult
(4th quartile)",FALSE,FALSE,11,313249,394,52.2183,-53.280144
"193","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,6,663257,1224,-12.206254,1.2410547
"194","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,6,551589,79,-67.08585,1.6161473
"195","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,10,472034,87,-48.978683,20.145521
"196","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,9,722980,725,-48.672787,-37.957386
"197","Basic Neuroscience","Difficult
(4th quartile)",TRUE,TRUE,8,985992,332,31.039639,10.481945
"198","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,7,826648,856,-0.8774457,7.9333115
"199","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,9,30003,649,-9.80768,-7.7799625
"200","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,8,568997,459,-45.592827,-39.437744
"201","Movement Disorders","Intermediate
(2nd quartile)",FALSE,FALSE,10,30124,1089,-13.335909,-0.1768792
"202","Movement Disorders","Difficult
(4th quartile)",FALSE,TRUE,4,961001,172,-59.905243,-25.504368
"203","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,7,409004,997,-19.722866,0.37350622
"204","Movement Disorders","Advanced
(3rd quartile)",FALSE,TRUE,8,279997,135,-66.01536,-10.614613
"205","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,11,911998,460,1.8537318,7.5219183
"206","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,8,266011,374,54.277203,-53.265945
"207","Basic Neuroscience","Advanced
(3rd quartile)",TRUE,TRUE,7,196002,115,-64.888596,44.551666
"208","Movement Disorders","Difficult
(4th quartile)",TRUE,FALSE,14,117102,312,9.778738,37.438572
"209","Movement Disorders","Advanced
(3rd quartile)",FALSE,FALSE,10,436996,604,-9.05733,6.5412874
"210","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,9,904973,564,51.825207,-52.135124
"211","Movement Disorders","Advanced
(3rd quartile)",TRUE,TRUE,4,721999,108,-48.013298,20.370527
"212","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,12,271047,576,81.504745,7.3146276
"213","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,11,137519,525,-8.824403,6.522171
"214","Movement Disorders","Easy
(1st quartile)",TRUE,TRUE,13,686035,394,-6.251191,-2.4695354
"215","Movement Disorders","Intermediate
(2nd quartile)",TRUE,TRUE,6,783967,344,-11.149171,3.3449585
"216","Neuroinfectious Disease","Difficult
(4th quartile)",TRUE,TRUE,48,204140,107,67.60457,34.49975
"217","Neuroinfectious Disease","Advanced
(3rd quartile)",TRUE,FALSE,7,561999,300,25.982243,-6.2611732
"218","Basic Neuroscience","Intermediate
(2nd quartile)",TRUE,TRUE,9,591662,67,-60.975616,56.50485
"219","Basic Neuroscience","Advanced
(3rd quartile)",FALSE,TRUE,9,33000,46,-55.542915,25.064543
"220","Neuroinfectious Disease","Easy
(1st quartile)",TRUE,TRUE,18,790233,509,17.656458,-12.640776
"221","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,TRUE,16,311193,615,29.352032,-8.051149
"222","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,FALSE,11,68964,769,27.98431,-6.6105886
"223","Neuroinfectious Disease","Intermediate
(2nd quartile)",FALSE,TRUE,11,954999,1082,14.862833,-25.396473
"224","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,7,93002,993,5.42357,-28.236849
"225","Neuroinfectious Disease","Advanced
(3rd quartile)",FALSE,TRUE,7,391044,250,15.770279,-17.110083
"226","Neuroinfectious Disease","Advanced
(3rd quartile)",TRUE,TRUE,9,698955,504,12.430107,-29.868282
"227","Neuroinfectious Disease","Easy
(1st quartile)",FALSE,TRUE,10,986140,303,32.84119,4.673447
"228","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,FALSE,10,447001,960,13.301788,-29.261423
"229","Neuroinfectious Disease","Difficult
(4th quartile)",TRUE,FALSE,10,595000,416,22.467762,-18.516018
"230","Basic Neuroscience","Advanced
(3rd quartile)",FALSE,TRUE,14,449001,46,-55.542652,25.06562
"231","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,TRUE,12,232000,820,50.50868,15.639727
"232","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,TRUE,14,278063,694,28.151392,-6.7252245
"233","Neuroinfectious Disease","Difficult
(4th quartile)",TRUE,TRUE,12,333268,332,72.55723,36.85011
"234","Neuroinfectious Disease","Easy
(1st quartile)",FALSE,TRUE,7,909007,379,47.8296,15.06243
"235","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,12,426964,248,11.480923,-30.095592
"236","Neuroinfectious Disease","Easy
(1st quartile)",TRUE,TRUE,12,239049,453,24.387268,12.4099655
"237","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,TRUE,6,409005,325,72.80984,35.776512
"238","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,TRUE,7,788963,70,-37.151337,33.48293
"239","Neuroinfectious Disease","Difficult
(4th quartile)",TRUE,TRUE,7,626004,560,-14.691149,-18.737457
"240","Neuroinfectious Disease","Advanced
(3rd quartile)",FALSE,TRUE,4,73033,562,0.09968745,-30.08869
"241","Basic Neuroscience","Difficult
(4th quartile)",FALSE,FALSE,14,692013,271,24.396627,36.289093
"242","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,7,589985,870,14.260152,-21.716408
"243","Neuroinfectious Disease","Advanced
(3rd quartile)",TRUE,TRUE,8,267152,515,34.952442,-53.24039
"244","Neuroinfectious Disease","Intermediate
(2nd quartile)",FALSE,TRUE,8,136243,445,19.033596,-19.289446
"245","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,5,513002,269,53.586285,24.780384
"246","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,9,181129,506,9.758663,-22.681591
"247","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,7,417003,585,-8.494781,-27.024582
"248","Neuroinfectious Disease","Intermediate
(2nd quartile)",TRUE,TRUE,8,447999,293,30.362564,-9.019495
"249","Neuroinfectious Disease","Difficult
(4th quartile)",FALSE,FALSE,9,315002,501,27.939848,-5.2848916
"250","Neurologic Complications of Systemic Disease","Difficult
(4th quartile)",FALSE,FALSE,6,118999,221,13.923365,-65.5566
"251","Neurologic Complications of Systemic Disease","Easy
(1st quartile)",TRUE,TRUE,10,443998,678,76.2063,18.151066
"252","Basic Neuroscience","Easy
(1st quartile)",FALSE,TRUE,9,510678,610,-8.8760195,-41.8183
"253","Neurologic Complications of Systemic Disease","Easy
(1st quartile)",FALSE,TRUE,23,448341,412,58.89554,23.483593
"254","Neurologic Complications of Systemic Disease","Intermediate
(2nd quartile)",TRUE,TRUE,5,110028,67,-61.072865,56.723087
"255","Neurologic Complications of Systemic Disease","Intermediate
(2nd quartile)",FALSE,TRUE,9,213000,646,18.510727,6.81189
"256","Neurologic Complications of Systemic Disease","Advanced
(3rd quartile)",TRUE,FALSE,10,989973,862,14.175379,-24.72903
"257","Neurologic Complications of Systemic Disease","Easy
(1st quartile)",TRUE,TRUE,30,767131,964,61.04051,24.815508
"258","Neurologic Complications of Systemic Disease","Difficult
(4th quartile)",FALSE,FALSE,12,468993,516,78.9874,7.7040052
"259","Neurologic Complications of Systemic Disease","Advanced
(3rd quartile)",FALSE,TRUE,7,217980,439,27.460693,-60.942432
"260","Neurologic Complications of Systemic Disease","Advanced
(3rd quartile)",FALSE,FALSE,6,698755,271,32.035263,-48.33886
